,,Edad del esposo,,,,,,,,,,,,,,
Suchitepequez,184,10,9,8,14,28,19,12,21,20,21,12,10,2018
Retalhuleu,149,15,13,16,11,17,9,13,10,12,13,9,11,2018
San Marcos,246,10,32,26,18,25,21,17,22,14,24,24,13,2018
Huehuetenango,190,19,20,12,12,15,23,15,15,15,14,20,10,2018
Quiche,190,13,25,20,11,19,20,8,11,14,21,20,8,2018
Baja Verapaz,133,16,15,10,14,9,3,12,10,12,10,10,12,2018
Alta Verapaz,138,7,12,7,16,15,15,7,15,9,12,13,10,2018
Peten,190,5,16,11,14,12,14,30,13,18,15,25,17,2018
Izabal,255,13,14,22,23,28,14,20,31,35,20,22,13,2018
Zacapa,149,13,13,4,9,17,17,12,14,15,12,10,13,2018
Chiquimula,151,10,8,15,13,19,15,17,13,15,15,7,4,2018
Jalapa,180,10,20,11,16,16,10,15,9,20,18,17,18,2018
Jutiapa,226,16,19,13,10,16,20,12,23,20,32,21,24,2018

,Grupos ocupacionales de la esposa,,,,,,,,,,,,,,
Grupos ocupacionales del esposo,Total,Ocupaciones militares,Directores y gerentes,Profesionales científicos e intelectuales,Técnicos y profesionales de nivel medio,Personal de apoyo administrativo,Trabajadores de los servicios y vendedores de comercios y mercados,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",Operadores de instalaciones y máquinas y ensambladores,Ocupaciones elementales,Ocupación no especificada,Ignorado,Año,Operadores de intalaciones y máquinas y ensambladores
Todos los grupos ocupacionales,9621,3,25,910,397,692,300,0,39,31,23,5242,1959,2021,
Ocupaciones militares,22,2,0,2,1,3,2,0,0,0,0,11,1,2021,
Directores y gerentes,34,0,5,8,0,6,2,0,0,0,0,13,0,2021,
Profesionales científicos e intelectuales,703,0,7,244,49,67,14,0,2,2,0,286,32,2021,
Técnicos y profesionales de nivel medio,811,0,1,145,113,154,28,0,1,2,1,341,25,2021,
Personal de apoyo administrativo,411,0,0,66,38,97,16,0,1,1,3,167,22,2021,
Trabajadores de los servicios y vendedores de comercios y mercados,749,1,2,74,29,61,83,0,5,2,3,464,25,2021,
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",30,0,0,4,2,3,0,0,0,0,2,19,0,2021,
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",672,0,0,47,34,47,33,0,13,7,0,444,47,2021,
Operadores de instalaciones y máquinas y ensambladores,289,0,0,23,11,19,16,0,4,4,2,190,20,2021,
Ocupaciones elementales,1385,0,0,29,26,33,37,0,7,5,5,1132,111,2021,
No especificado en otro grupo,2730,0,10,243,80,185,56,0,4,6,0,2021,125,2021,
Ignorado,1785,0,0,25,14,17,13,0,2,2,7,154,1551,2021,
Todos los grupos ocupacionales,5575,1,22,454,126,354,130,0,21,,8,2735,1699,2014,25
Ocupaciones militares,12,0,0,4,1,1,0,0,0,,0,6,0,2014,0
Directores y gerentes,45,0,1,8,2,8,2,0,0,,0,21,2,2014,1
Profesionales científicos e intelectuales,386,0,10,132,23,38,13,0,1,,1,144,24,2014,0
Técnicos y profesionales de nivel medio,301,0,3,67,25,54,13,0,1,,1,111,26,2014,0
Personal de apoyo administrativo,232,0,0,34,13,64,10,0,0,,0,91,19,2014,1
Trabajadores de los servicios y vendedores de comercios y mercados,322,0,1,30,9,33,29,0,3,,0,201,13,2014,3
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",575,0,0,14,3,11,10,0,3,,2,449,80,2014,3
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",271,1,2,14,11,18,10,0,5,,1,170,34,2014,5
Operadores de intalaciones y máquinas y ensambladores,143,0,1,16,6,6,7,0,2,,0,83,18,2014,4
Ocupaciones elementales,180,0,0,7,1,2,2,0,1,,1,145,19,2014,2
Ocupación no especificada,1552,0,2,101,25,102,25,0,4,,2,1184,103,2014,4
Ignorado,1556,0,2,27,7,17,9,0,1,,0,130,1361,2014,2
Todos los grupos ocupacionales,5726,1,34,438,174,400,126,0,26,,6,2929,1578,2015,14
Ocupaciones militares,14,0,0,5,1,4,0,0,0,,0,4,0,2015,0
Directores y gerentes,45,0,7,4,1,12,1,0,0,,0,19,1,2015,0
Profesionales científicos e intelectuales,399,0,11,139,17,60,9,0,0,,1,136,26,2015,0
Técnicos y profesionales de nivel medio,341,0,2,44,50,73,13,0,1,,1,142,15,2015,0
Personal de apoyo administrativo,249,0,4,24,22,60,9,0,3,,2,105,20,2015,0
Trabajadores de los servicios y vendedores de comercios y mercados,335,0,2,34,7,28,31,0,5,,0,206,21,2015,1
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",616,0,1,20,12,11,7,0,4,,0,490,66,2015,5
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",279,0,0,16,9,18,11,0,4,,1,193,27,2015,0
Operadores de instalaciones y máquinas y ensambladores,138,0,1,12,4,10,5,0,2,,0,89,9,2015,6
Ocupaciones elementales,163,0,0,2,3,2,3,0,2,,1,132,17,2015,1
No especificado en otro grupo,1671,1,4,112,36,104,25,0,5,,0,1286,98,2015,0
Ignorado,1476,0,2,26,12,18,12,0,0,,0,127,1278,2015,1
Todos los grupos ocupacionales,4074,1,8,368,169,248,115,0,21,14,7,2284,839,2020,
Ocupaciones militares,10,1,0,2,2,0,0,0,0,0,0,5,0,2020,
Directores y gerentes,15,0,2,4,2,2,1,0,0,0,0,4,0,2020,
Profesionales científicos e intelectuales,281,0,2,94,21,29,7,0,0,0,1,113,14,2020,
Técnicos y profesionales de nivel medio,330,0,0,64,59,48,11,0,0,0,0,138,10,2020,
Personal de apoyo administrativo,167,0,0,32,9,44,6,0,1,0,1,65,9,2020,
Trabajadores de los servicios y vendedores de comercios y mercados,314,0,0,32,11,23,47,0,1,1,0,185,14,2020,
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",13,0,0,3,0,0,0,0,0,0,0,10,0,2020,
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",254,0,0,20,10,16,11,0,5,3,0,170,19,2020,
Operadores de instalaciones y máquinas y ensambladores,121,0,0,9,3,1,7,0,0,2,0,92,7,2020,
Ocupaciones elementales,636,0,0,14,7,8,6,0,4,3,1,547,46,2020,
No especificado en otro grupo,1183,0,4,89,35,73,17,0,8,5,3,895,54,2020,
Ignorado,750,0,0,5,10,4,2,0,2,0,1,60,666,2020,
Todos los grupos ocupacionales,8203,1,28,723,301,585,225,0,45,28,14,4418,1835,2019,
Ocupaciones militares,18,0,0,2,0,1,0,0,0,0,0,15,0,2019,
Directores y gerentes,47,0,3,17,1,7,1,0,0,0,0,13,5,2019,
Profesionales científicos e intelectuales,567,0,14,209,28,52,10,0,2,0,1,229,22,2019,
Técnicos y profesionales de nivel medio,549,0,2,100,90,122,18,0,0,1,0,197,19,2019,
Personal de apoyo administrativo,358,0,1,44,23,104,10,0,1,2,0,152,21,2019,
Trabajadores de los servicios y vendedores de comercios y mercados,620,0,2,70,30,53,76,0,7,2,0,351,29,2019,
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",23,0,0,1,1,1,2,0,0,0,1,16,1,2019,
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",539,0,1,41,28,31,20,0,18,3,1,370,26,2019,
Operadores de instalaciones y máquinas y ensambladores,226,0,0,13,13,18,16,0,0,3,1,144,18,2019,
Ocupaciones elementales,1052,0,0,22,18,12,9,0,6,5,5,874,101,2019,
No especificado en otro grupo,2558,1,5,187,60,173,55,0,10,10,2,1951,104,2019,
Ignorado,1646,0,0,17,9,11,8,0,1,2,3,106,1489,2019,
Todos los grupos ocupacionales,9950,3,28,1043,418,733,398,0,82,30,22,5287,1906,2022,
Ocupaciones militares,18,2,0,4,0,4,1,0,0,0,0,6,1,2022,
Directores y gerentes,46,0,3,9,2,10,3,0,0,0,0,17,2,2022,
Profesionales científicos e intelectuales,678,1,11,282,46,45,23,0,1,1,1,251,16,2022,
Técnicos y profesionales de nivel medio,821,0,1,156,120,139,39,0,5,0,1,337,23,2022,
Personal de apoyo administrativo,414,0,2,53,34,118,25,0,4,1,0,160,17,2022,
Trabajadores de los servicios y vendedores de comercios y mercados,941,0,3,108,36,85,116,0,7,2,5,535,44,2022,
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",32,0,0,4,4,1,0,0,0,0,0,18,5,2022,
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",722,0,1,57,26,47,35,0,28,3,4,468,53,2022,
Operadores de instalaciones y máquinas y ensambladores,331,0,2,38,16,27,18,0,2,5,2,204,17,2022,
Ocupaciones elementales,1551,0,0,52,38,37,46,0,18,6,4,1245,105,2022,
No especificado en otro grupo,2675,0,5,260,86,204,77,0,12,11,4,1904,112,2022,
Ignorado,1721,0,0,20,10,16,15,0,5,1,1,142,1511,2022,
"Fuente: Estadísticas Vitales, INE",,,,,,,,,,,,,,2022,
"Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros.",,,,,,,,,,,,,,2022,
Todos los grupos ocupacionales,6255,1,17,517,198,426,139,0,39,,13,3349,1535,2018,21
Ocupaciones militares,13,1,0,3,2,3,0,0,0,,0,4,0,2018,0
Directores y gerentes,14,0,1,4,0,3,1,0,0,,0,4,1,2018,0
Profesionales científicos e intelectuales,423,0,8,173,20,41,6,0,3,,0,153,19,2018,0
Técnicos y profesionales de nivel medio,438,0,0,71,61,85,8,0,0,,1,195,16,2018,1
Personal de apoyo administrativo,260,0,1,37,13,67,7,0,1,,0,118,15,2018,1
Trabajadores de los servicios y vendedores de comercios y mercados,442,0,3,32,10,37,37,0,10,,1,286,25,2018,1
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",16,0,0,1,0,0,1,0,0,,0,12,2,2018,0
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",364,0,0,27,12,22,11,0,10,,2,238,36,2018,6
Operadores de instalaciones y máquinas y ensambladores,187,0,0,6,6,22,9,0,3,,0,128,8,2018,5
Ocupaciones elementales,917,0,0,25,16,12,18,0,3,,4,737,99,2018,3
No especificado en otro grupo,1808,0,4,120,49,118,32,0,9,,5,1374,93,2018,4
Ignorado,1373,0,0,18,9,16,9,0,0,,0,100,1221,2018,0

Todos los días,,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Año
1,294,1,54,41,1,1,26,36,2,51,39,0,42,2021
2,298,0,40,41,2,0,26,41,40,43,1,41,23,2021
3,295,1,34,41,2,47,29,0,45,37,0,33,26,2021
4,307,17,42,39,1,40,39,0,48,1,39,41,0,2021
5,333,27,41,37,37,39,0,25,38,1,41,47,0,2021
6,259,24,0,0,45,30,1,42,28,31,36,0,22,2021
7,267,18,0,0,35,48,32,40,0,39,40,0,15,2021
8,384,32,46,43,43,1,16,58,0,49,45,33,18,2021
9,385,2,37,55,38,0,49,62,50,33,0,32,27,2021
10,271,0,29,47,0,33,38,0,33,41,1,29,20,2021
11,327,32,35,39,0,34,50,0,41,1,57,38,0,2021
12,334,25,26,47,46,44,2,41,50,0,50,3,0,2021
13,318,33,0,0,33,56,0,45,35,51,42,0,23,2021
14,301,31,0,0,34,39,44,41,0,42,48,0,22,2021
15,335,28,42,47,55,2,37,29,0,0,39,36,20,2021
16,338,2,41,38,41,0,44,44,18,44,0,38,28,2021
17,318,0,38,66,0,38,24,0,40,53,0,33,26,2021
18,348,41,30,46,1,57,44,0,43,0,50,36,0,2021
19,398,35,33,55,60,45,0,40,39,0,50,41,0,2021
20,230,25,0,0,45,36,0,37,45,25,1,0,16,2021
21,314,52,1,0,32,39,48,27,1,39,46,1,28,2021
22,415,38,37,39,48,0,51,46,1,45,42,43,25,2021
23,322,0,34,30,48,0,45,26,47,38,1,37,16,2021
24,271,0,54,45,1,36,37,0,45,14,0,39,0,2021
25,333,35,34,56,1,41,45,0,35,0,45,41,0,2021
26,369,37,48,43,42,46,0,32,39,0,45,37,0,2021
27,281,53,0,1,53,26,1,44,21,43,38,0,1,2021
28,300,55,1,2,52,39,10,34,0,36,53,1,17,2021
29,350,44,0,49,60,0,34,24,0,27,56,36,20,2021
30,248,0,0,33,2,0,30,38,42,53,0,30,20,2021
31,78,0,0,2,0,37,0,1,38,0,0,0,0,2021
1,144,1,0,3,31,0,0,24,19,15,26,0,25,2014
2,156,10,1,1,23,22,19,19,0,15,21,1,24,2014
3,251,10,23,36,25,1,28,30,0,23,24,20,31,2014
4,164,0,25,26,23,0,14,13,22,26,0,11,4,2014
5,191,0,26,27,0,25,29,0,22,24,1,16,21,2014
6,187,20,20,28,0,28,21,0,17,0,29,24,0,2014
7,233,16,34,36,29,23,0,26,24,0,33,12,0,2014
8,153,18,0,1,22,30,0,12,20,17,21,0,12,2014
9,187,35,0,1,26,12,23,21,1,23,29,0,16,2014
10,239,17,28,23,20,0,22,35,0,20,34,24,16,2014
11,182,0,26,22,22,0,23,19,10,34,0,13,13,2014
12,199,0,18,24,1,31,31,0,27,23,0,24,20,2014
13,160,18,23,27,0,16,17,1,17,0,23,17,1,2014
14,211,19,25,17,34,17,0,29,25,1,27,17,0,2014
15,139,12,1,0,27,30,0,18,10,0,19,0,22,2014
16,161,19,1,0,1,15,39,21,0,21,29,0,15,2014
17,190,20,27,25,1,1,17,24,0,19,17,25,14,2014
18,168,0,24,22,1,0,22,15,22,26,0,15,21,2014
19,184,0,26,23,0,37,26,0,18,25,0,13,16,2014
20,163,35,25,26,1,22,18,1,19,0,2,14,0,2014
21,183,19,20,25,19,21,0,26,28,1,14,10,0,2014
22,197,16,2,1,29,33,1,26,23,34,17,0,15,2014
23,164,31,2,0,20,16,20,20,0,19,27,0,9,2014
24,227,24,22,26,39,1,17,45,1,9,25,18,0,2014
25,178,0,32,22,24,0,26,20,16,20,0,18,0,2014
26,165,0,16,23,0,31,32,0,21,25,0,17,0,2014
27,183,21,18,24,0,23,27,2,24,0,24,20,0,2014
28,195,20,15,18,32,20,0,17,34,2,19,17,1,2014
29,180,22,0,0,32,27,0,10,23,32,20,0,14,2014
30,168,18,0,1,16,22,0,15,1,23,39,0,33,2014
31,73,19,0,21,0,0,0,33,0,0,0,0,0,2014
1,116,0,0,0,3,0,30,22,0,19,26,0,16,2015
2,184,0,27,27,0,0,24,34,0,28,26,2,16,2015
3,178,0,20,20,0,0,21,22,33,19,0,19,24,2015
4,162,0,24,22,0,21,29,0,19,19,0,8,20,2015
5,184,12,28,24,0,33,24,0,25,0,25,13,0,2015
6,199,9,13,39,39,15,1,25,25,1,22,10,0,2015
7,165,15,1,0,25,32,0,21,26,11,23,0,11,2015
8,173,23,0,0,20,34,26,16,0,20,20,0,14,2015
9,201,28,25,26,20,1,13,12,0,14,28,17,17,2015
10,225,0,33,21,22,0,31,29,34,22,2,20,11,2015
11,163,0,17,21,1,19,21,1,32,20,0,15,16,2015
12,201,29,27,19,0,28,24,0,21,1,30,22,0,2015
13,227,19,24,25,27,22,0,33,36,0,29,12,0,2015
14,166,17,1,1,32,15,0,24,12,25,19,0,20,2015
15,163,17,0,1,24,23,34,22,0,0,32,1,9,2015
16,220,13,24,32,21,0,23,26,0,27,20,24,10,2015
17,181,1,24,24,25,0,23,29,23,15,0,12,5,2015
18,176,0,24,19,0,37,19,0,30,26,0,11,10,2015
19,194,24,26,25,0,22,27,1,25,0,27,17,0,2015
20,207,19,19,21,40,27,0,31,30,0,0,20,0,2015
21,187,25,0,0,25,15,0,20,25,23,31,0,23,2015
22,211,26,1,1,24,29,41,21,0,26,25,0,17,2015
23,234,20,30,36,17,0,29,28,0,16,29,14,15,2015
24,173,0,16,33,19,0,14,25,29,25,0,12,0,2015
25,205,1,13,29,0,34,43,1,27,32,0,25,0,2015
26,194,29,28,22,1,28,34,0,29,0,8,15,0,2015
27,212,18,28,28,25,24,0,36,22,0,18,13,0,2015
28,190,24,0,0,26,23,0,14,28,30,23,1,21,2015
29,130,22,0,0,24,18,3,15,0,22,14,0,12,2015
30,215,15,0,21,33,1,20,35,1,37,23,19,10,2015
31,90,0,0,25,0,0,0,37,28,0,0,0,0,2015
1,68,0,1,2,0,0,0,1,0,17,15,0,32,2020
2,134,20,0,42,0,0,0,1,0,18,29,0,24,2020
3,152,15,37,27,0,1,1,2,0,17,0,20,32,2020
4,160,1,32,42,0,0,1,0,1,22,0,17,44,2020
5,118,0,45,27,0,0,1,0,2,0,28,15,0,2020
6,151,20,34,43,0,1,0,2,2,0,22,27,0,2020
7,117,13,36,0,0,0,0,1,0,12,26,0,29,2020
8,88,13,0,0,0,0,0,7,1,18,29,0,20,2020
9,173,16,0,46,0,0,1,1,0,11,47,21,30,2020
10,154,21,37,34,0,0,0,0,10,12,1,18,21,2020
11,147,0,38,42,0,1,1,1,4,18,0,21,21,2020
12,128,0,42,33,0,0,0,0,7,0,41,5,0,2020
13,189,32,31,55,0,0,0,0,6,0,39,23,3,2020
14,125,18,30,0,0,1,0,2,9,0,30,0,35,2020
15,94,37,1,0,0,0,0,1,1,0,31,1,22,2020
16,207,27,0,59,0,0,6,0,0,21,40,25,29,2020
17,133,25,31,1,1,0,4,0,4,17,0,20,30,2020
18,136,0,40,0,0,0,4,0,4,26,0,25,37,2020
19,115,0,38,1,0,0,3,1,5,0,42,24,1,2020
20,115,33,34,1,0,0,0,1,10,0,1,34,1,2020
21,152,32,33,0,0,0,0,0,4,11,45,0,27,2020
22,119,26,0,1,0,0,0,1,0,19,34,0,38,2020
23,147,38,1,0,0,0,0,0,0,12,49,25,22,2020
24,123,34,33,0,0,0,2,0,4,14,1,35,0,2020
25,94,0,39,0,0,1,3,0,3,24,2,22,0,2020
26,103,0,21,1,0,1,1,0,1,0,51,27,0,2020
27,130,41,28,0,0,0,0,1,7,0,37,16,0,2020
28,180,33,38,0,0,2,0,0,18,20,46,0,23,2020
29,140,39,0,0,1,0,1,2,0,25,47,0,25,2020
30,129,42,0,0,0,0,1,1,0,13,45,17,10,2020
31,53,32,0,0,0,0,0,1,20,0,0,0,0,2020
1,233,2,25,38,45,38,2,3,41,0,39,0,0,2019
2,263,9,0,0,44,31,0,33,36,50,27,1,32,2019
3,295,18,0,2,42,33,47,52,1,40,29,0,31,2019
4,339,10,35,48,61,1,45,41,0,35,17,31,15,2019
5,310,2,32,33,34,0,48,47,33,36,0,30,15,2019
6,244,0,34,42,0,46,24,0,36,18,0,27,17,2019
7,253,13,28,51,0,28,40,0,38,0,33,22,0,2019
8,295,10,29,32,49,41,0,38,30,1,40,25,0,2019
9,248,12,0,0,43,37,0,44,30,41,23,1,17,2019
10,240,19,0,0,51,15,31,39,0,35,33,0,17,2019
11,339,26,28,60,37,3,46,29,0,40,27,31,12,2019
12,245,0,25,35,31,0,56,44,6,29,1,0,18,2019
13,235,0,29,47,0,28,36,0,40,17,0,19,19,2019
14,306,37,25,46,0,49,38,0,50,0,38,23,0,2019
15,302,30,27,32,46,46,0,47,16,0,29,29,0,2019
16,234,25,0,0,47,35,0,27,36,2,45,0,17,2019
17,165,16,0,0,0,29,1,44,1,34,31,0,9,2019
18,282,17,31,39,0,0,27,34,0,34,34,45,21,2019
19,257,1,30,43,3,0,48,27,36,33,0,26,10,2019
20,289,0,40,48,0,54,29,0,39,24,0,36,19,2019
21,271,41,37,45,0,43,43,0,34,1,2,25,0,2019
22,337,28,36,31,41,31,1,66,43,0,34,26,0,2019
23,254,19,0,1,34,38,0,44,42,42,34,0,0,2019
24,218,33,0,0,37,35,29,42,0,7,35,0,0,2019
25,302,23,37,44,28,1,40,38,0,29,30,32,0,2019
26,282,0,20,41,42,1,36,26,46,25,0,31,14,2019
27,264,0,30,44,0,51,37,0,45,20,0,27,10,2019
28,291,32,26,45,0,31,48,1,35,0,47,26,0,2019
29,243,30,0,41,8,38,1,15,27,0,46,37,0,2019
30,236,28,0,1,32,53,0,31,26,27,38,0,0,2019
31,131,27,0,0,0,38,0,40,0,0,26,0,0,2019
1,353,0,40,52,31,2,47,25,54,62,0,0,40,2022
2,289,1,37,42,1,3,51,0,46,31,0,35,42,2022
3,320,2,52,45,0,43,46,0,52,1,51,28,0,2022
4,314,22,36,48,41,41,0,8,52,0,36,30,0,2022
5,315,23,2,1,42,34,0,40,37,47,54,1,34,2022
6,288,19,3,1,25,37,51,33,1,47,44,1,26,2022
7,378,18,40,50,31,1,42,49,0,39,45,32,31,2022
8,335,1,32,35,41,0,38,37,45,46,0,26,34,2022
9,309,1,37,41,2,51,30,0,48,47,0,24,28,2022
10,341,42,41,54,0,24,49,0,43,1,46,41,0,2022
11,316,35,36,32,38,42,0,43,51,0,36,3,0,2022
12,349,29,0,0,35,34,1,53,50,45,53,0,49,2022
13,283,37,1,0,2,44,36,48,0,38,44,0,33,2022
14,364,37,45,48,1,0,44,41,2,34,41,43,28,2022
15,261,1,40,37,0,0,38,42,35,0,1,29,38,2022
16,320,0,40,62,0,59,54,0,40,3,2,30,30,2022
17,338,41,40,49,0,46,28,0,51,0,44,39,0,2022
18,432,34,53,48,49,59,0,51,55,1,47,35,0,2022
19,316,30,0,0,25,56,0,41,39,54,40,0,31,2022
20,310,41,0,0,35,47,40,53,0,49,2,0,43,2022
21,385,34,41,42,49,0,37,43,0,40,34,29,36,2022
22,353,0,31,41,36,1,45,47,42,52,2,30,26,2022
23,280,0,28,34,1,53,50,0,41,39,0,34,0,2022
24,350,25,58,35,0,40,41,1,36,2,62,49,1,2022
25,356,29,38,37,46,43,0,47,45,0,45,26,0,2022
26,303,45,1,0,41,49,0,40,38,46,41,1,1,2022
27,293,43,1,0,44,36,40,45,1,36,35,0,12,2022
28,390,24,53,54,41,1,38,43,1,38,35,47,15,2022
29,289,0,0,39,32,1,39,32,54,45,2,25,20,2022
30,241,0,0,40,0,50,39,1,50,32,0,29,0,2022
31,179,50,0,48,0,42,0,0,38,0,1,0,0,2022
"Fuente: Estadísticas Vitales, INE",,,,,,,,,,,,,,2022
"Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros.",,,,,,,,,,,,,,2022